Production Line,Diameter (inches)
A,5.895380491
A,5.936714279
A,5.828055899
A,5.866828899
A,5.894963596
A,6.007349329
A,5.969685404
A,5.889631443
A,5.938179364
A,5.910252683
A,5.847925191
A,5.858596196
A,5.847310216
A,5.895562067
A,5.907909668
A,5.810533848
A,5.953174089
A,5.901856
A,5.891812103
A,5.883589622
A,5.979448825
A,5.890560849
A,5.890913851
A,5.935895011
A,5.899964637
A,5.939108348
A,5.904349556
A,5.903312778
A,5.960028247
A,5.896916734
A,5.854954683
A,5.837037598
A,5.902831643
A,5.851689069
A,5.937427777
A,5.913909319
A,5.884462192
A,5.867304751
A,5.896352601
A,5.929596877
A,5.942880199
A,5.84029108
A,5.995077037
A,5.867740798
A,5.840890166
A,5.977610254
A,5.960816077
A,5.946816859
A,5.866222475
A,5.953466015
A,5.894512899
A,5.830338214
A,5.866424977
A,5.836896255
A,5.945106946
A,5.958680698
A,5.848035443
A,5.89217861
A,5.919729815
A,5.841686278
A,5.946853143
A,5.849769183
A,5.830461545
A,5.857686499
A,5.881395866
A,5.857024623
A,5.960299935
A,5.900094454
A,5.828613586
A,5.917164521
A,5.828286503
A,5.976538625
A,5.83989743
A,5.877724451
A,5.90957636
A,5.861080843
A,5.850733126
A,5.912637488
A,5.821944062
A,5.952012676
A,5.835370914
A,5.837230859
A,5.892759393
A,5.78941654
A,5.899105562
A,5.863518279
A,5.916660275
A,5.894576884
A,5.944957757
A,5.855000541
A,5.939796148
A,5.899883004
A,5.874091235
A,5.910692602
A,5.861188677
A,5.87038729
A,5.873026603
A,5.908889877
A,5.894136068
A,5.793403495
A,5.971771864
A,5.986345481
A,5.867946975
A,5.941706541
A,5.927792445
A,5.87861008
A,5.889703028
A,5.953456199
A,5.81954973
A,5.940802418
A,5.96234135
A,5.867997082
A,5.973582126
A,5.939667632
A,5.954793617
A,5.895283755
A,5.848235254
A,5.881177779
A,5.786982996
A,5.85847863
A,5.933189475
A,5.857353685
A,5.918969448
A,6.001266837
A,5.873077797
A,5.916558281
A,5.822807721
A,5.946926945
A,5.946705783
A,5.867226325
A,5.851763023
A,5.877989374
A,5.83745483
A,5.927189108
A,5.952547325
A,5.905898227
A,5.809557534
A,5.979703277
A,5.923962961
A,5.911572437
A,5.819418232
A,5.894336383
A,5.902170795
A,5.905230058
A,5.928878429
A,5.857820462
A,5.875730763
A,5.86200283
A,5.888504118
A,5.80873837
A,5.947822787
A,5.9235221
A,5.937770474
A,5.891881427
A,5.914169875
A,5.875013602
A,5.978542485
A,5.837298486
A,5.831534537
A,5.893241787
A,5.908221899
A,6.017315159
A,5.9523404
A,5.926923708
A,5.855907806
A,5.851013184
A,5.850527182
A,5.938716744
A,5.946516836
A,5.943833403
A,5.852491877
A,5.828141856
A,5.903882245
A,5.923230963
A,5.910146821
A,5.93848931
A,5.940977057
A,5.962541874
A,5.939076855
A,5.818977547
A,5.865742546
A,5.888588546
A,5.991959181
A,5.86500278
A,5.884216994
A,5.888560589
A,5.935107762
A,5.883920169
A,5.913855114
A,5.830475281
A,5.904540166
A,5.958551411
A,5.928344698
A,5.888418381
A,5.942937495
A,5.9421193
A,5.920279915
A,5.934280995
A,5.952476658
A,5.863502416
A,5.869500209
A,5.932439204
A,5.985485872
A,5.894387885
A,5.848212058
A,5.961167806
A,5.883915148
A,5.879688224
A,5.780960549
A,5.893179283
A,5.92979004
A,5.849365546
A,5.943993464
A,5.847442262
A,5.867969015
A,5.850313128
A,5.853125467
A,5.823301149
A,5.880332218
A,5.876773922
A,5.882019014
A,5.906754767
A,5.813108856
A,5.92103758
A,5.925883159
A,5.888781206
A,5.925614447
A,5.893161372
A,5.987522621
A,5.950808786
A,5.937966348
A,5.829267234
A,5.897953274
A,5.932701697
A,5.94541077
A,5.895292953
A,5.99852343
A,5.921688349
A,5.868195575
A,5.866408623
A,5.926007538
A,5.940273545
A,5.928203365
A,5.891352817
A,5.954866408
A,5.826827073
A,5.870465957
A,5.908132725
A,5.942736167
A,5.923391996
A,5.847542938
A,5.95555126
A,5.976359283
A,5.989288709
A,5.917404307
A,6.007822328
A,5.932629508
A,5.918731634
A,5.90376571
A,5.864878787
A,5.885970682
A,5.903992148
A,5.881525725
A,5.901016966
A,5.790554101
A,5.9504269
A,5.814188334
A,5.909751797
A,5.906055282
A,5.894604966
A,5.86927433
A,5.943124071
A,5.928002167
A,5.939591981
A,5.866821351
A,5.95386203
A,5.847504892
A,5.913455746
A,5.842589476
A,5.937076249
A,5.852723509
A,5.953492656
A,5.812085746
A,5.834362936
A,5.887891091
A,5.905112829
A,5.967816196
A,5.906601741
A,5.930773238
A,5.847602713
A,5.881788457
A,5.85465914
A,5.888761023
A,5.903148355
A,5.863714948
A,5.922138841
A,5.932277713
A,5.800745561
A,5.833861154
A,5.857052918
A,5.868708904
A,5.897120356
A,5.903748835
A,5.841973277
A,5.881552976
A,5.862175239
A,5.95258559
A,5.88550524
A,5.862197032
A,5.931498741
A,5.866983093
A,5.810764782
A,5.878111179
A,5.861772222
A,5.836183514
A,5.909973282
A,5.905741735
A,5.906911529
A,6.011953178
A,5.87392335
A,5.778145242
A,5.868129502
A,5.871503816
A,5.917914558
A,5.94405843
A,5.907656591
A,5.795874409
A,5.877064215
A,5.884408371
A,5.829180531
A,5.935479616
A,5.876406708
A,5.851405335
A,5.891457216
A,5.848209479
A,5.900600665
A,5.935578502
A,5.886523999
A,5.843773803
A,5.83051847
A,5.908685317
A,5.856933524
A,5.882607495
A,5.859139703
A,5.875871805
A,5.951063031
A,5.862069854
A,5.896493973
A,5.845816663
A,5.873308231
A,5.879139254
A,5.878320865
A,5.890091588
A,5.844672462
A,5.883527346
A,5.970585266
A,5.855273401
A,5.938272685
A,6.005547162
A,5.888013515
A,5.967788827
A,5.835047012
A,5.961988482
A,5.910152093
A,5.961228366
A,5.855195639
A,5.907927683
A,5.842635667
A,5.883413931
A,5.813608968
A,5.895854622
A,5.857032675
A,5.864846509
A,5.941336742
A,5.781188297
A,5.852595975
A,5.852948424
A,5.918572703
A,5.956880691
A,5.887349602
A,5.874808284
A,5.956209397
A,5.92123248
A,5.899176741
A,5.956152025
A,5.90472036
A,5.869324212
A,5.962671842
A,5.916812738
A,5.866718465
A,5.846977905
A,5.89417188
A,5.913323447
A,5.885128925
A,5.872147577
A,5.902703062
A,5.986139288
A,5.917970914
A,5.927070308
A,5.895363266
A,5.921241014
A,5.901124265
A,5.935913668
A,5.891313682
A,5.929834167
A,5.905140951
A,5.937635763
A,5.836219013
A,5.882234214
A,5.995665627
A,5.987332253
A,6.029915921
A,5.92437265
A,5.886479571
A,5.943741204
A,5.874696175
A,5.952402207
A,5.849955176
A,5.938608979
A,5.81714353
A,5.901616521
A,5.989546997
A,5.809254957
A,5.919626289
A,5.875367241
A,5.980455903
A,5.807577264
A,5.831218566
A,6.018364858
A,5.877427495
A,5.893141759
A,5.879485676
A,5.930260415
A,5.880294406
A,5.887931075
A,5.852220163
A,5.909555635
A,5.923291839
A,5.956621904
A,5.928721853
A,5.917644799
A,5.89644807
A,5.968506468
A,5.834873639
A,5.872428589
A,5.876023816
A,5.859154
A,5.911583529
A,5.886676632
A,5.930821695
A,5.844737306
A,5.904981364
A,5.970395724
A,5.854241983
A,5.87302798
A,5.91332351
A,5.864621143
A,5.86612124
A,5.871477962
A,5.885710045
A,5.858013218
A,6.045481953
A,5.850283782
A,5.886785469
A,5.98902229
A,5.90169447
A,5.90387792
A,5.801714478
A,5.938205282
A,5.92376393
A,5.898882788
A,5.850151495
A,5.873171102
A,5.895290942
A,5.948994534
A,5.913504144
A,5.79116564
A,5.819552002
A,5.870348465
A,5.951899954
A,5.814191861
A,5.895111153
A,5.879751386
A,5.885801882
A,5.946680726
A,5.954795527
A,5.905470964
A,5.809561943
A,5.946343871
A,5.957037271
A,5.85630815
A,5.855287685
A,5.970815025
A,5.855134927
A,5.950836801
A,5.918061529
A,5.938935714
A,5.902289481
A,5.936550198
A,5.812058695
A,5.852002316
A,5.854127291
A,5.867587485
A,5.895427332
A,5.922349008
A,5.930818073
A,5.825576843
A,5.905897499
A,5.869777503
A,5.852113105
A,5.9685181
A,5.882375946
A,5.906357962
A,5.856880616
A,5.92832792
A,5.873489427
A,5.863201869
A,5.86365805
A,5.938726421
A,5.978073948
A,5.931669915
A,5.814898652
A,5.88138767
A,6.022081354
A,5.918237633
A,5.881636571
A,5.908896769
A,5.83901649
A,5.889557766
A,5.864205046
A,5.883048668
A,5.927290213
A,5.950459429
A,5.850954203
A,5.830032975
A,5.919536171
A,5.914291563
A,5.927152265
A,5.845023039
A,5.936569511
A,5.869917985
A,5.943243147
A,5.924674145
A,5.903492523
A,5.857437662
A,5.843978175
A,5.865092063
A,5.850201028
A,5.911278378
A,5.887426127
A,5.90812952
A,5.891735084
A,5.903551519
A,5.90010198
A,5.8961386
A,5.91218665
A,5.83669825
A,5.855348255
A,5.866489903
A,5.773919046
A,5.977034413
A,5.86320552
A,5.903541045
A,5.876829411
A,5.861375863
A,5.847454257
A,5.922901233
A,5.920116055
A,5.904289453
A,5.953402419
A,5.928618831
A,5.877120979
A,5.902549387
A,5.883650181
A,5.991580945
A,5.907608191
A,5.796098681
A,6.002375081
A,5.831269719
A,5.997536337
A,5.901835879
A,5.904070272
A,5.917679035
A,5.892392364
A,5.930283375
A,5.884251309
A,5.831904987
A,5.919249628
A,5.913663391
A,5.902299093
A,5.957875999
A,5.922891738
A,5.92626487
A,5.909077611
A,5.85644847
A,5.871308109
A,5.906662513
A,5.867181378
A,5.925301745
A,5.931188964
A,5.932146563
A,5.968109132
A,5.859267416
A,5.801853654
A,5.903194052
A,5.950205924
A,5.867238325
A,5.890023612
A,5.903492926
A,5.890461576
A,5.925289993
A,5.905090497
A,5.832239607
A,5.988837596
A,5.934700506
A,5.903845882
A,5.907238963
A,5.851301281
A,5.842809331
A,5.857280939
A,5.937323181
A,5.987370479
A,5.946866941
A,5.888145131
A,5.932794775
A,5.971231795
A,5.866284227
A,5.957913571
A,5.938848827
A,5.860138755
A,5.930473852
A,6.009868525
A,5.888804793
A,5.951758315
A,5.887787888
A,5.94720114
A,5.865281618
A,5.881778532
A,5.918164285
A,5.964540257
A,5.968888965
A,5.882857723
A,5.949891626
A,5.941662425
A,5.983525219
A,5.882456117
A,5.871131738
A,5.967465536
A,5.846218712
A,5.874947372
A,5.863696282
A,5.920017336
A,5.864454614
A,5.862173802
A,5.927355319
A,5.983002974
A,5.93408689
A,5.93299484
A,5.897136569
A,5.918243068
A,5.886546692
A,5.878930277
A,5.838896916
A,5.886764782
A,5.897013539
A,5.947520691
A,5.908946011
A,5.891567421
A,5.827844075
A,5.812766622
A,5.899615982
A,5.881524644
A,5.905029004
A,5.867567115
A,5.916836327
A,5.849681729
A,5.952546101
A,5.955988562
A,5.740813484
A,5.890132057
A,5.828264285
A,5.895188782
A,5.822474251
A,5.779914177
A,5.899521816
A,5.91612448
A,5.90379293
A,5.993073226
A,5.935421284
A,5.879037979
A,5.849526602
A,5.87211041
A,5.874557449
A,5.92190753
A,5.878737979
A,5.912022344
A,5.920070727
A,5.90638761
A,5.877660764
A,5.920128671
A,5.953656869
A,5.795275571
A,5.98983722
A,5.855999354
A,5.82766408
A,5.938468119
A,5.912079243
A,5.906463413
A,5.9285322
A,5.931019813
A,5.925018448
A,5.902559795
A,5.745046385
A,5.932492173
A,5.926611812
A,5.867017146
A,5.86953142
A,5.923282656
A,5.872753278
A,5.830192484
A,5.829717581
A,5.913926137
A,5.910582832
A,5.964404353
A,5.851616102
A,5.945211669
A,5.896542413
A,5.845186733
A,5.912730032
A,5.925754564
A,5.980085773
A,5.844511515
A,5.817020806
A,5.944415084
A,5.871816394
A,5.906305518
A,5.882569209
A,5.904971928
A,5.835064501
A,6.045762958
A,5.881873205
A,5.885277457
A,5.847946006
A,5.902496652
